item_id,restaurent_name,item_name,description,cuisine,category,is_morning,is_afternoon,is_evening,is_sunny,is_rainy,portion_size,price
1298,Spicia,Seafood Tom Yum (Small),"A hot and sour Thai soup with assorted seafood, served hot and tangy with herbs",Thai,Soup,0,1,1,1,0,Small,840
1299,Spicia,Seafood Tom Yum (Regular),"A hot and sour Thai soup with assorted seafood, served hot and tangy with herbs",Thai,Soup,0,1,1,1,0,Regular,1160
1300,Spicia,Chicken Tom Yum (Small),"A hot and sour Thai soup with chicken, served hot with herbs and spices",Thai,Soup,0,1,1,1,0,Small,600
1301,Spicia,Chicken Tom Yum (Regular),"A hot and sour Thai soup with chicken, served hot with herbs and spices",Thai,Soup,0,1,1,1,0,Regular,840
1302,Spicia,Sweet Corn Soup - Crab (Small),"Sweet corn soup with crab, served warm and mildly sweet",Chinese,Soup,0,1,1,0,1,Small,750
1303,Spicia,Sweet Corn Soup - Crab (Regular),"Sweet corn soup with crab, served warm and mildly sweet",Chinese,Soup,0,1,1,0,1,Regular,1000
1304,Spicia,Sweet Corn Soup - Chicken (Small),"Sweet corn soup with chicken, served warm and mildly sweet",Chinese,Soup,0,1,1,0,1,Small,530
1305,Spicia,Sweet Corn Soup - Chicken (Regular),"Sweet corn soup with chicken, served warm and mildly sweet",Chinese,Soup,0,1,1,0,1,Regular,780
1306,Spicia,Sweet Corn Soup - Vegetable (Small),"Sweet corn soup with vegetables, served warm and mildly sweet",Chinese,Soup,0,1,1,0,1,Small,480
1307,Spicia,Sweet Corn Soup - Vegetable (Regular),"Sweet corn soup with vegetables, served warm and mildly sweet",Chinese,Soup,0,1,1,0,1,Regular,700
1308,Spicia,Mixed Mee Hoon Soup (Small),"Oriental noodle soup with a combination of meat and seafood, served hot",Asian,Soup,0,1,1,1,0,Small,770
1309,Spicia,Mixed Mee Hoon Soup (Regular),"Oriental noodle soup with a combination of meat and seafood, served hot",Asian,Soup,0,1,1,1,0,Regular,1120
1310,Spicia,Seafood Soup (Small),"A clear soup with assorted seafood, served hot",Asian,Soup,0,1,1,1,0,Small,840
1311,Spicia,Seafood Soup (Regular),"A clear soup with assorted seafood, served hot",Asian,Soup,0,1,1,1,0,Regular,1160
1312,Spicia,Prawn and Cucumber Soup,"Light prawn soup with cucumber, served warm",Asian,Soup,0,1,1,0,1,-,900
1313,Spicia,Spicy Vegetable Soup,Hot vegetable soup with spices,Asian,Soup,0,1,1,1,0,-,770
1314,Spicia,Chicken Hot and Spicy Soup,Hot chicken soup with chili spices,Asian,Soup,0,1,1,1,0,-,850
1315,Spicia,Spicy Beef Soup,Spicy beef broth served hot,Asian,Soup,0,1,1,1,0,-,1000
1316,Spicia,Cream of Mushroom and Spinach Soup,"Creamy mushroom and spinach soup, served hot",Western,Soup,0,1,1,0,1,-,950
1317,Spicia,Cream of Chicken,"A rich creamy soup with chicken pieces, garnished with coriander",Western,Soup,0,1,1,0,1,-,950
1318,Spicia,Laksa Seafood Soup,Spicy soup with seafood and coconut milk,Malaysian,Soup,0,1,1,1,0,-,1150
1319,Spicia,Tomato Egg Soup,Sweet and sour tomato soup with egg,Asian,Soup,0,1,1,0,1,-,750
1320,Spicia,Chinese Omelette - Vegetables,Chinese omelette with vegetables,Chinese,Omelette,1,1,1,0,1,-,690
1321,Spicia,Chinese Omelette - Chicken,Chinese omelette with chicken,Chinese,Omelette,1,1,1,0,1,-,810
1322,Spicia,Chinese Omelette - Prawn,Chinese omelette with prawn,Chinese,Omelette,1,1,1,0,1,-,950
1323,Spicia,Sri Lankan Omelette,Sri Lankan style omelette,Sri Lankan,Omelette,1,1,1,0,1,-,360
1324,Spicia,Fried Egg,"Classic fried egg, served hot",Global,Side,1,1,1,0,1,-,300
1325,Spicia,Cheese Omelette,Omelette made with cheese,Global,Omelette,1,1,1,0,1,-,480
1326,Spicia,Chicken Omelette - Sri Lankan Style,Sri Lankan style chicken omelette,Sri Lankan,Omelette,1,1,1,0,1,-,690
1327,Spicia,Mixed Omelette,Omelette with assorted fillings,Global,Omelette,1,1,1,0,1,-,890
1328,Spicia,Bacon and Sausages Omelette,Omelette with bacon and sausages,Western,Omelette,1,1,1,0,1,-,890
1329,Spicia,Kang Kung with Garlic (S),Stir-fried kang kung with garlic and dry chillies in a mild sauce; light and warm vegetable dish,Asian,Side dish,0,1,1,1,0,Small,360
1330,Spicia,Kang Kung with Garlic (R),Stir-fried kang kung with garlic and dry chillies in a mild sauce; light and warm vegetable dish,Asian,Side dish,0,1,1,1,0,Regular,420
1331,Spicia,Mixed Vegetables with Mushrooms and Baby Corn (S),Assorted vegetables stir-fried with mushrooms and baby corn in a mild sauce,Asian,Side dish,0,1,1,1,0,Small,530
1332,Spicia,Mixed Vegetables with Mushrooms and Baby Corn (R),Assorted vegetables stir-fried with mushrooms and baby corn in a mild sauce,Asian,Side dish,0,1,1,1,0,Regular,700
1333,Spicia,Chop Suey (S),Assorted vegetables stir-fried in a mild sauce; light and warm,Asian,Side dish,0,1,1,1,0,Small,480
1334,Spicia,Chop Suey (R),Assorted vegetables stir-fried in a mild sauce; light and warm,Asian,Side dish,0,1,1,1,0,Regular,660
1335,Spicia,String Beans Szechuan Style with Cashew (S),Dry braised string beans in a spicy sauce with cashews; warm and moderately spicy,Asian,Side dish,0,1,1,1,0,Small,500
1336,Spicia,String Beans Szechuan Style with Cashew (R),Dry braised string beans in a spicy sauce with cashews; warm and moderately spicy,Asian,Side dish,0,1,1,1,0,Regular,670
1337,Spicia,Devilled Mushrooms (S),Mushrooms stir-fried in a spicy sauce; warm and savory,Asian,Side dish,0,1,1,1,0,Small,530
1338,Spicia,Devilled Mushrooms (R),Mushrooms stir-fried in a spicy sauce; warm and savory,Asian,Side dish,0,1,1,1,0,Regular,710
1339,Spicia,Hot Batter Mushrooms (S),Deep-fried mushrooms in a crispy batter; hot and crunchy,Asian,Side dish,0,1,1,1,0,Small,530
1340,Spicia,Hot Batter Mushrooms (R),Deep-fried mushrooms in a crispy batter; hot and crunchy,Asian,Side dish,0,1,1,1,0,Regular,670
1341,Spicia,Hot Batter Baby Corn (S),Deep-fried baby corn in a crispy batter; hot and crunchy,Asian,Side dish,0,1,1,1,0,Small,720
1342,Spicia,Hot Batter Baby Corn (R),Deep-fried baby corn in a crispy batter; hot and crunchy,Asian,Side dish,0,1,1,1,0,Regular,900
1343,Spicia,Mushrooms with Oyster Sauce (S),Deep-fried mushrooms in oyster sauce; warm and savory,Asian,Side dish,0,1,1,1,0,Small,500
1344,Spicia,Mushrooms with Oyster Sauce (R),Deep-fried mushrooms in oyster sauce; warm and savory,Asian,Side dish,0,1,1,1,0,Regular,720
1345,Spicia,Spicy Potatoes (S),Fried potato wedges in a spicy sauce; hot and flavorful,Asian,Side dish,0,1,1,1,0,Small,630
1346,Spicia,Spicy Potatoes (R),Fried potato wedges in a spicy sauce; hot and flavorful,Asian,Side dish,0,1,1,1,0,Regular,820
1347,Spicia,Garlic Spinach (S),Stir-fried spinach with garlic and dry chillies in a mild sauce,Asian,Side dish,0,1,1,1,0,Small,400
1348,Spicia,Garlic Spinach (R),Stir-fried spinach with garlic and dry chillies in a mild sauce,Asian,Side dish,0,1,1,1,0,Regular,530
1349,Spicia,Chinese Chilli Vegetables (S),Stir-fried assorted mixed vegetables served with garlic sauce,Chinese,Side dish,0,1,1,1,0,Small,530
1350,Spicia,Chinese Chilli Vegetables (R),Stir-fried assorted mixed vegetables served with garlic sauce,Chinese,Side dish,0,1,1,1,0,Regular,760
1351,Spicia,Stir-Fried Pak Choi (S),Stir-fried pak choi with garlic and onions; light and fresh,Asian,Side dish,0,1,1,1,0,Small,530
1352,Spicia,Stir-Fried Pak Choi (R),Stir-fried pak choi with garlic and onions; light and fresh,Asian,Side dish,0,1,1,1,0,Regular,700
1353,Spicia,Devilled Button Mushrooms,Mushrooms stir-fried in a spicy sauce; hot and savory,Asian,Side dish,0,1,1,1,0,Regular,800
1354,Spicia,House Special Vietnamese Rice (S),"Fried rice tossed with prawns, cuttlefish, chicken, and vegetables. Savory, medium-heavy, served hot.",Vietnamese,Main,0,1,1,1,0,Small,950
1355,Spicia,House Special Vietnamese Rice (R),"Fried rice tossed with prawns, cuttlefish, chicken, and vegetables. Savory, medium-heavy, served hot.",Vietnamese,Main,0,1,1,1,0,Regular,1200
1356,Spicia,Spisia Chop Suey Rice (S),"Creamy vegetable chop suey fried rice with a combination of meat and seafood. Medium-heavy, creamy, served hot.",Asian,Main,0,1,1,1,0,Small,950
1357,Spicia,Spisia Chop Suey Rice (R),"Creamy vegetable chop suey fried rice with a combination of meat and seafood. Medium-heavy, creamy, served hot.",Asian,Main,0,1,1,1,0,Regular,1200
1358,Spicia,Ginger Rice with Chicken (S),"Stir fried ginger-flavoured rice with chicken. Medium spice, aromatic, served hot.",Asian,Main,0,1,1,1,0,Small,700
1359,Spicia,Ginger Rice with Chicken (R),"Stir fried ginger-flavoured rice with chicken. Medium spice, aromatic, served hot.",Asian,Main,0,1,1,1,0,Regular,900
1360,Spicia,Wok Fried Rice with Prawns (S),"Stir-fried rice with vegetables, egg, and prawns. Savory, served hot.",Asian,Main,0,1,1,1,0,Small,800
1361,Spicia,Wok Fried Rice with Prawns (R),"Stir-fried rice with vegetables, egg, and prawns. Savory, served hot.",Asian,Main,0,1,1,1,0,Regular,1050
1362,Spicia,Wok Fried Rice with Chicken (S),"Stir-fried rice with vegetables, egg, and chicken. Savory, served hot.",Asian,Main,0,1,1,1,0,Small,750
1363,Spicia,Wok Fried Rice with Chicken (R),"Stir-fried rice with vegetables, egg, and chicken. Savory, served hot.",Asian,Main,0,1,1,1,0,Regular,900
1364,Spicia,Wok Fried Rice with Beef (S),"Stir-fried rice with vegetables, egg, and beef. Savory, served hot.",Asian,Main,0,1,1,1,0,Small,750
1365,Spicia,Wok Fried Rice with Beef (R),"Stir-fried rice with vegetables, egg, and beef. Savory, served hot.",Asian,Main,0,1,1,1,0,Regular,900
1366,Spicia,Wok Fried Rice with Vegetables and Egg (S),"Stir-fried rice with vegetables and egg. Light-medium, vegetarian-friendly, served hot.",Asian,Main,0,1,1,1,0,Small,700
1367,Spicia,Wok Fried Rice with Vegetables and Egg (R),"Stir-fried rice with vegetables and egg. Light-medium, vegetarian-friendly, served hot.",Asian,Main,0,1,1,1,0,Regular,900
1368,Spicia,Wok Fried Rice with Bacon and Egg (S),"Stir-fried rice with vegetables, bacon, and egg. Savory, served hot.",Asian,Main,0,1,1,1,0,Small,750
